carat,cut,color,clarity,depth,table,x,y,z,price
0.34,Ideal,H,,61.3,57.0,4.54,4.55,2.78,526.0
1.01,Premium,J,SI2,63.0,60.0,6.38,6.31,4.0,3421.0
0.36,Ideal,D,SI1,60.3,56.0,4.61,4.65,2.79,663.0
0.3,Premium,D,SI1,61.7,59.0,4.31,4.28,2.65,709.0
0.4,Premium,F,VS2,60.7,60.0,4.8,4.75,2.9,1080.0
0.74,Very Good,G,SI2,63.0,56.0,5.75,5.77,3.63,2277.0
1.05,Ideal,E,SI2,60.3,61.0,6.56,6.6,3.97,4714.0
0.5,Very Good,G,SI1,62.8,61.0,4.99,5.01,3.14,1197.0
0.35,Premium,G,VS1,61.2,58.0,4.51,4.54,2.77,706.0
1.01,Fair,G,SI1,66.9,56.0,6.15,6.22,4.14,4102.0
0.53,Very Good,E,VS2,63.5,59.0,5.17,5.13,3.27,1678.0
1.01,Very Good,I,VS2,62.3,60.0,6.33,6.41,3.97,4666.0
0.43,Premium,G,VS1,60.9,57.0,4.91,4.88,2.98,1008.0
0.42,Ideal,F,VVS1,62.0,55.0,4.84,4.81,2.99,1389.0
0.4,Ideal,I,IF,62.4,56.0,4.73,4.7,2.94,1050.0
0.32,Ideal,G,VVS2,61.6,55.0,4.41,4.42,2.72,730.0
1.01,Fair,E,VS2,66.6,55.0,6.27,6.2,4.15,4525.0
0.55,Ideal,E,SI1,60.9,56.0,5.28,5.32,3.23,1448.0
0.32,Ideal,G,VVS2,61.8,55.0,4.43,4.41,2.73,936.0
0.43,Ideal,G,SI1,,57.0,4.84,4.87,2.98,790.0
0.37,Premium,E,VVS2,60.9,59.0,4.65,4.61,2.82,1082.0
0.48,Premium,E,VS2,62.5,61.0,5.01,4.97,3.12,1323.0
0.3,Ideal,G,IF,61.7,55.0,4.34,4.31,2.67,956.0
0.3,Premium,D,VS2,60.4,59.0,4.32,4.35,2.62,710.0
1.59,Ideal,D,SI2,61.6,55.0,7.48,7.45,4.6,8975.0
0.94,Premium,G,SI1,61.3,61.0,6.33,6.27,3.86,4159.0
0.31,Ideal,H,IF,61.8,56.0,4.36,4.38,2.7,816.0
1.0,Premium,G,VVS2,59.5,61.0,6.46,6.42,3.83,7589.0
0.31,Premium,I,SI1,59.6,58.0,,4.44,2.63,418.0
1.51,Good,D,SI2,61.7,65.0,7.31,7.38,4.53,7384.0
0.77,Ideal,H,VS2,60.9,56.0,5.89,5.94,3.61,3332.0
0.33,Very Good,D,VS2,62.9,54.0,4.4,4.44,2.78,660.0
1.0,Premium,E,VS1,61.1,60.0,6.43,6.41,3.92,7588.0
1.22,Very Good,I,VS1,61.6,60.0,6.86,6.8,4.21,5966.0
0.6,Very Good,H,SI1,60.4,63.0,5.45,5.41,3.28,1378.0
0.34,Premium,I,VS1,61.0,60.0,4.51,4.48,2.74,689.0
1.27,Ideal,I,SI2,62.1,56.0,6.92,6.96,4.31,5154.0
0.9,Ideal,D,SI2,62.4,56.0,6.24,6.16,3.87,4007.0
1.5,Fair,E,VS1,65.4,57.0,7.14,7.07,4.65,15584.0
1.04,Ideal,H,SI1,62.7,54.0,6.51,6.47,4.07,4515.0
1.1,Very Good,I,VS2,61.8,58.0,6.59,6.62,4.08,5524.0
0.66,Ideal,E,SI1,62.8,57.0,5.58,5.53,3.49,1901.0
1.01,Premium,G,SI2,60.1,58.0,6.54,6.39,3.89,3173.0
0.9,Premium,D,SI1,62.7,58.0,6.09,6.15,3.84,4381.0
